2023-09-30 15:19:29,209.Smoker_producer.INFO ==================================================
2023-09-30 15:19:29,210.Smoker_producer.INFO Today is 2023-09-30 at 03:19 PM
2023-09-30 15:19:29,210.Smoker_producer.INFO Running on: nt Windows 10
2023-09-30 15:19:29,211.Smoker_producer.INFO Python version:  3.9.12
2023-09-30 15:19:29,211.Smoker_producer.INFO Python path: C:\Users\alhal\miniconda3
2023-09-30 15:19:29,211.Smoker_producer.INFO Working dir: C:\Users\alhal\OneDrive\Documents\44-671\streaming-05-smart-smoker
2023-09-30 15:19:29,211.Smoker_producer.INFO ==================================================
2023-09-30 15:20:33,424.Smoker_producer.INFO  [x] Sent b'05/22/21 12:50:15,No temperature'
2023-09-30 15:20:34,432.Smoker_producer.INFO  [x] Sent b'05/22/21 12:51:10,146.2'
2023-09-30 15:20:34,440.Smoker_producer.INFO  [x] Sent b'05/22/21 12:51:10,No temperature'
2023-09-30 15:20:34,448.Smoker_producer.INFO  [x] Sent b'05/22/21 12:51:10,No temperature'
2023-09-30 15:20:35,474.Smoker_producer.INFO  [x] Sent b'05/22/21 12:51:15,146.2'
2023-09-30 15:20:35,485.Smoker_producer.INFO  [x] Sent b'05/22/21 12:51:15,No temperature'
2023-09-30 15:20:35,518.Smoker_producer.INFO  [x] Sent b'05/22/21 12:51:15,No temperature'
2023-09-30 15:20:36,530.Smoker_producer.INFO  [x] Sent b'05/22/21 12:52:10,147.5'
2023-09-30 15:20:36,540.Smoker_producer.INFO  [x] Sent b'05/22/21 12:52:10,No temperature'
2023-09-30 15:20:36,548.Smoker_producer.INFO  [x] Sent b'05/22/21 12:52:10,No temperature'
2023-09-30 15:20:37,559.Smoker_producer.INFO  [x] Sent b'05/22/21 12:52:15,147.5'
2023-09-30 15:20:37,571.Smoker_producer.INFO  [x] Sent b'05/22/21 12:52:15,No temperature'
2023-09-30 15:20:37,578.Smoker_producer.INFO  [x] Sent b'05/22/21 12:52:15,No temperature'
2023-09-30 15:20:38,591.Smoker_producer.INFO  [x] Sent b'05/22/21 12:53:10,148.7'
2023-09-30 15:20:38,618.Smoker_producer.INFO  [x] Sent b'05/22/21 12:53:10,No temperature'
2023-09-30 15:20:38,627.Smoker_producer.INFO  [x] Sent b'05/22/21 12:53:10,No temperature'
2023-09-30 15:20:39,647.Smoker_producer.INFO  [x] Sent b'05/22/21 12:53:15,148.7'
2023-09-30 15:20:39,656.Smoker_producer.INFO  [x] Sent b'05/22/21 12:53:15,No temperature'
2023-09-30 15:20:39,664.Smoker_producer.INFO  [x] Sent b'05/22/21 12:53:15,No temperature'
2023-09-30 15:20:40,677.Smoker_producer.INFO  [x] Sent b'05/22/21 12:54:10,149.9'
2023-09-30 15:20:40,687.Smoker_producer.INFO  [x] Sent b'05/22/21 12:54:10,No temperature'
2023-09-30 15:20:40,695.Smoker_producer.INFO  [x] Sent b'05/22/21 12:54:10,No temperature'
2023-09-30 15:20:41,709.Smoker_producer.INFO  [x] Sent b'05/22/21 12:54:15,149.9'
2023-09-30 15:20:41,719.Smoker_producer.INFO  [x] Sent b'05/22/21 12:54:15,No temperature'
2023-09-30 15:20:41,725.Smoker_producer.INFO  [x] Sent b'05/22/21 12:54:15,No temperature'
2023-09-30 15:20:42,764.Smoker_producer.INFO  [x] Sent b'05/22/21 12:55:05,151.1'
2023-09-30 15:20:42,773.Smoker_producer.INFO  [x] Sent b'05/22/21 12:55:05,No temperature'
2023-09-30 15:20:42,780.Smoker_producer.INFO  [x] Sent b'05/22/21 12:55:05,No temperature'
2023-09-30 15:20:43,801.Smoker_producer.INFO  [x] Sent b'05/22/21 12:55:10,151.2'
2023-09-30 15:20:43,809.Smoker_producer.INFO  [x] Sent b'05/22/21 12:55:10,No temperature'
2023-09-30 15:20:43,815.Smoker_producer.INFO  [x] Sent b'05/22/21 12:55:10,No temperature'
2023-09-30 15:20:44,830.Smoker_producer.INFO  [x] Sent b'05/22/21 12:55:15,151.2'
2023-09-30 15:20:44,838.Smoker_producer.INFO  [x] Sent b'05/22/21 12:55:15,No temperature'
2023-09-30 15:20:44,860.Smoker_producer.INFO  [x] Sent b'05/22/21 12:55:15,No temperature'
2023-09-30 15:20:45,869.Smoker_producer.INFO  [x] Sent b'05/22/21 12:56:10,152.4'
2023-09-30 15:20:45,876.Smoker_producer.INFO  [x] Sent b'05/22/21 12:56:10,No temperature'
2023-09-30 15:20:45,884.Smoker_producer.INFO  [x] Sent b'05/22/21 12:56:10,No temperature'
2023-09-30 15:20:46,902.Smoker_producer.INFO  [x] Sent b'05/22/21 12:56:15,152.4'
2023-09-30 15:20:46,910.Smoker_producer.INFO  [x] Sent b'05/22/21 12:56:15,No temperature'
2023-09-30 15:20:46,918.Smoker_producer.INFO  [x] Sent b'05/22/21 12:56:15,No temperature'
2023-09-30 15:20:47,932.Smoker_producer.INFO  [x] Sent b'05/22/21 12:57:10,153.4'
2023-09-30 15:20:47,939.Smoker_producer.INFO  [x] Sent b'05/22/21 12:57:10,No temperature'
2023-09-30 15:20:47,944.Smoker_producer.INFO  [x] Sent b'05/22/21 12:57:10,No temperature'
2023-09-30 15:20:48,962.Smoker_producer.INFO  [x] Sent b'05/22/21 12:57:15,153.4'
2023-09-30 15:20:48,972.Smoker_producer.INFO  [x] Sent b'05/22/21 12:57:15,No temperature'
2023-09-30 15:20:48,980.Smoker_producer.INFO  [x] Sent b'05/22/21 12:57:15,No temperature'
2023-09-30 15:20:50,001.Smoker_producer.INFO  [x] Sent b'05/22/21 12:58:10,154.5'
2023-09-30 15:20:50,011.Smoker_producer.INFO  [x] Sent b'05/22/21 12:58:10,No temperature'
2023-09-30 15:20:50,020.Smoker_producer.INFO  [x] Sent b'05/22/21 12:58:10,No temperature'
