2023-09-23 00:24:38,242.v1_emitter_of_smoker_tasks copy.INFO ==================================================
2023-09-23 00:24:38,243.v1_emitter_of_smoker_tasks copy.INFO Today is 2023-09-23 at 12:24 AM
2023-09-23 00:24:38,243.v1_emitter_of_smoker_tasks copy.INFO Running on: nt Windows 10
2023-09-23 00:24:38,244.v1_emitter_of_smoker_tasks copy.INFO Python version:  3.9.12
2023-09-23 00:24:38,245.v1_emitter_of_smoker_tasks copy.INFO Python path: C:\Users\alhal\miniconda3
2023-09-23 00:24:38,245.v1_emitter_of_smoker_tasks copy.INFO Working dir: C:\Users\alhal\OneDrive\Documents\44-671\streaming-05-smart-smoker
2023-09-23 00:24:38,245.v1_emitter_of_smoker_tasks copy.INFO ==================================================
2023-09-23 00:25:14,438.v1_emitter_of_smoker_tasks copy.INFO  [x] Sent [05/22/21 12:37:10, 111.9]
2023-09-23 00:25:14,449.v1_emitter_of_smoker_tasks copy.INFO  [x] Sent [05/22/21 12:37:10, ]
2023-09-23 00:25:14,457.v1_emitter_of_smoker_tasks copy.INFO  [x] Sent [05/22/21 12:37:10, ]
2023-09-23 00:25:15,472.v1_emitter_of_smoker_tasks copy.INFO  [x] Sent [05/22/21 12:37:15, 111.9]
2023-09-23 00:25:15,478.v1_emitter_of_smoker_tasks copy.INFO  [x] Sent [05/22/21 12:37:15, ]
2023-09-23 00:25:15,486.v1_emitter_of_smoker_tasks copy.INFO  [x] Sent [05/22/21 12:37:15, ]
2023-09-23 00:25:16,499.v1_emitter_of_smoker_tasks copy.INFO  [x] Sent [05/22/21 12:38:10, 114.2]
2023-09-23 00:25:16,505.v1_emitter_of_smoker_tasks copy.INFO  [x] Sent [05/22/21 12:38:10, ]
2023-09-23 00:25:16,513.v1_emitter_of_smoker_tasks copy.INFO  [x] Sent [05/22/21 12:38:10, ]
2023-09-23 00:25:17,524.v1_emitter_of_smoker_tasks copy.INFO  [x] Sent [05/22/21 12:38:15, 114.2]
2023-09-23 00:25:17,534.v1_emitter_of_smoker_tasks copy.INFO  [x] Sent [05/22/21 12:38:15, ]
2023-09-23 00:25:17,545.v1_emitter_of_smoker_tasks copy.INFO  [x] Sent [05/22/21 12:38:15, ]
2023-09-23 00:25:18,571.v1_emitter_of_smoker_tasks copy.INFO  [x] Sent [05/22/21 12:39:10, 115.5]
2023-09-23 00:25:18,583.v1_emitter_of_smoker_tasks copy.INFO  [x] Sent [05/22/21 12:39:10, ]
2023-09-23 00:25:18,590.v1_emitter_of_smoker_tasks copy.INFO  [x] Sent [05/22/21 12:39:10, ]
2023-09-23 00:25:19,614.v1_emitter_of_smoker_tasks copy.INFO  [x] Sent [05/22/21 12:39:15, 115.5]
2023-09-23 00:25:19,626.v1_emitter_of_smoker_tasks copy.INFO  [x] Sent [05/22/21 12:39:15, ]
2023-09-23 00:25:19,636.v1_emitter_of_smoker_tasks copy.INFO  [x] Sent [05/22/21 12:39:15, ]
2023-09-23 00:25:20,656.v1_emitter_of_smoker_tasks copy.INFO  [x] Sent [05/22/21 12:40:10, 112.6]
2023-09-23 00:25:20,666.v1_emitter_of_smoker_tasks copy.INFO  [x] Sent [05/22/21 12:40:10, ]
2023-09-23 00:25:20,678.v1_emitter_of_smoker_tasks copy.INFO  [x] Sent [05/22/21 12:40:10, ]
2023-09-23 00:25:21,701.v1_emitter_of_smoker_tasks copy.INFO  [x] Sent [05/22/21 12:40:15, 112.6]
2023-09-23 00:25:21,709.v1_emitter_of_smoker_tasks copy.INFO  [x] Sent [05/22/21 12:40:15, ]
2023-09-23 00:25:21,717.v1_emitter_of_smoker_tasks copy.INFO  [x] Sent [05/22/21 12:40:15, ]
2023-09-23 00:25:22,732.v1_emitter_of_smoker_tasks copy.INFO  [x] Sent [05/22/21 12:41:10, 118.8]
2023-09-23 00:25:22,742.v1_emitter_of_smoker_tasks copy.INFO  [x] Sent [05/22/21 12:41:10, ]
2023-09-23 00:25:22,748.v1_emitter_of_smoker_tasks copy.INFO  [x] Sent [05/22/21 12:41:10, ]
2023-09-23 00:25:23,774.v1_emitter_of_smoker_tasks copy.INFO  [x] Sent [05/22/21 12:41:15, 118.8]
2023-09-23 00:25:23,785.v1_emitter_of_smoker_tasks copy.INFO  [x] Sent [05/22/21 12:41:15, ]
2023-09-23 00:25:23,795.v1_emitter_of_smoker_tasks copy.INFO  [x] Sent [05/22/21 12:41:15, ]
2023-09-23 00:25:24,810.v1_emitter_of_smoker_tasks copy.INFO  [x] Sent [05/22/21 12:42:10, 113.2]
2023-09-23 00:25:24,822.v1_emitter_of_smoker_tasks copy.INFO  [x] Sent [05/22/21 12:42:10, ]
2023-09-23 00:25:24,832.v1_emitter_of_smoker_tasks copy.INFO  [x] Sent [05/22/21 12:42:10, ]
2023-09-23 00:25:25,850.v1_emitter_of_smoker_tasks copy.INFO  [x] Sent [05/22/21 12:42:15, 113.2]
2023-09-23 00:25:25,860.v1_emitter_of_smoker_tasks copy.INFO  [x] Sent [05/22/21 12:42:15, ]
2023-09-23 00:25:25,869.v1_emitter_of_smoker_tasks copy.INFO  [x] Sent [05/22/21 12:42:15, ]
2023-09-23 00:25:26,888.v1_emitter_of_smoker_tasks copy.INFO  [x] Sent [05/22/21 12:43:10, 126.7]
2023-09-23 00:25:26,902.v1_emitter_of_smoker_tasks copy.INFO  [x] Sent [05/22/21 12:43:10, ]
2023-09-23 00:25:26,914.v1_emitter_of_smoker_tasks copy.INFO  [x] Sent [05/22/21 12:43:10, ]
2023-09-23 00:25:27,925.v1_emitter_of_smoker_tasks copy.INFO  [x] Sent [05/22/21 12:43:15, 126.7]
2023-09-23 00:25:27,935.v1_emitter_of_smoker_tasks copy.INFO  [x] Sent [05/22/21 12:43:15, ]
2023-09-23 00:25:27,946.v1_emitter_of_smoker_tasks copy.INFO  [x] Sent [05/22/21 12:43:15, ]
2023-09-23 00:25:28,972.v1_emitter_of_smoker_tasks copy.INFO  [x] Sent [05/22/21 12:44:10, 130.0]
2023-09-23 00:25:28,981.v1_emitter_of_smoker_tasks copy.INFO  [x] Sent [05/22/21 12:44:10, ]
2023-09-23 00:25:28,991.v1_emitter_of_smoker_tasks copy.INFO  [x] Sent [05/22/21 12:44:10, ]
2023-09-23 00:25:30,016.v1_emitter_of_smoker_tasks copy.INFO  [x] Sent [05/22/21 12:44:15, 130.0]
2023-09-23 00:25:30,022.v1_emitter_of_smoker_tasks copy.INFO  [x] Sent [05/22/21 12:44:15, ]
2023-09-23 00:25:30,029.v1_emitter_of_smoker_tasks copy.INFO  [x] Sent [05/22/21 12:44:15, ]
2023-09-23 00:25:31,041.v1_emitter_of_smoker_tasks copy.INFO  [x] Sent [05/22/21 12:45:10, 130.0]
2023-09-23 00:25:31,049.v1_emitter_of_smoker_tasks copy.INFO  [x] Sent [05/22/21 12:45:10, ]
2023-09-23 00:25:31,081.v1_emitter_of_smoker_tasks copy.INFO  [x] Sent [05/22/21 12:45:10, ]
2023-09-23 00:25:32,093.v1_emitter_of_smoker_tasks copy.INFO  [x] Sent [05/22/21 12:45:15, 130.0]
2023-09-23 00:25:32,099.v1_emitter_of_smoker_tasks copy.INFO  [x] Sent [05/22/21 12:45:15, ]
2023-09-23 00:25:32,108.v1_emitter_of_smoker_tasks copy.INFO  [x] Sent [05/22/21 12:45:15, ]
2023-09-23 00:25:33,122.v1_emitter_of_smoker_tasks copy.INFO  [x] Sent [05/22/21 12:46:10, 137.3]
2023-09-23 00:25:33,128.v1_emitter_of_smoker_tasks copy.INFO  [x] Sent [05/22/21 12:46:10, ]
2023-09-23 00:25:33,135.v1_emitter_of_smoker_tasks copy.INFO  [x] Sent [05/22/21 12:46:10, ]
2023-09-23 00:25:34,147.v1_emitter_of_smoker_tasks copy.INFO  [x] Sent [05/22/21 12:46:15, 137.3]
2023-09-23 00:25:34,152.v1_emitter_of_smoker_tasks copy.INFO  [x] Sent [05/22/21 12:46:15, ]
2023-09-23 00:25:34,158.v1_emitter_of_smoker_tasks copy.INFO  [x] Sent [05/22/21 12:46:15, ]
2023-09-23 00:25:35,179.v1_emitter_of_smoker_tasks copy.INFO  [x] Sent [05/22/21 12:47:10, 139.5]
2023-09-23 00:25:35,185.v1_emitter_of_smoker_tasks copy.INFO  [x] Sent [05/22/21 12:47:10, ]
2023-09-23 00:25:35,193.v1_emitter_of_smoker_tasks copy.INFO  [x] Sent [05/22/21 12:47:10, ]
2023-09-23 00:25:36,202.v1_emitter_of_smoker_tasks copy.INFO  [x] Sent [05/22/21 12:47:15, 139.5]
2023-09-23 00:25:36,209.v1_emitter_of_smoker_tasks copy.INFO  [x] Sent [05/22/21 12:47:15, ]
2023-09-23 00:25:36,217.v1_emitter_of_smoker_tasks copy.INFO  [x] Sent [05/22/21 12:47:15, ]
2023-09-23 00:25:37,231.v1_emitter_of_smoker_tasks copy.INFO  [x] Sent [05/22/21 12:48:10, 141.8]
2023-09-23 00:25:37,238.v1_emitter_of_smoker_tasks copy.INFO  [x] Sent [05/22/21 12:48:10, ]
2023-09-23 00:25:37,248.v1_emitter_of_smoker_tasks copy.INFO  [x] Sent [05/22/21 12:48:10, ]
2023-09-23 00:25:38,269.v1_emitter_of_smoker_tasks copy.INFO  [x] Sent [05/22/21 12:48:15, 141.8]
2023-09-23 00:25:38,275.v1_emitter_of_smoker_tasks copy.INFO  [x] Sent [05/22/21 12:48:15, ]
2023-09-23 00:25:38,283.v1_emitter_of_smoker_tasks copy.INFO  [x] Sent [05/22/21 12:48:15, ]
2023-09-23 00:25:39,302.v1_emitter_of_smoker_tasks copy.INFO  [x] Sent [05/22/21 12:49:10, 143.6]
2023-09-23 00:25:39,313.v1_emitter_of_smoker_tasks copy.INFO  [x] Sent [05/22/21 12:49:10, ]
2023-09-23 00:25:39,319.v1_emitter_of_smoker_tasks copy.INFO  [x] Sent [05/22/21 12:49:10, ]
2023-09-23 00:25:40,330.v1_emitter_of_smoker_tasks copy.INFO  [x] Sent [05/22/21 12:49:15, 143.6]
2023-09-23 00:25:40,336.v1_emitter_of_smoker_tasks copy.INFO  [x] Sent [05/22/21 12:49:15, ]
2023-09-23 00:25:40,344.v1_emitter_of_smoker_tasks copy.INFO  [x] Sent [05/22/21 12:49:15, ]
2023-09-23 00:25:41,356.v1_emitter_of_smoker_tasks copy.INFO  [x] Sent [05/22/21 12:50:10, 145.0]
2023-09-23 00:25:41,363.v1_emitter_of_smoker_tasks copy.INFO  [x] Sent [05/22/21 12:50:10, ]
2023-09-23 00:25:41,371.v1_emitter_of_smoker_tasks copy.INFO  [x] Sent [05/22/21 12:50:10, ]
2023-09-23 00:25:42,392.v1_emitter_of_smoker_tasks copy.INFO  [x] Sent [05/22/21 12:50:15, 145.0]
2023-09-23 00:25:42,400.v1_emitter_of_smoker_tasks copy.INFO  [x] Sent [05/22/21 12:50:15, ]
2023-09-23 00:25:42,406.v1_emitter_of_smoker_tasks copy.INFO  [x] Sent [05/22/21 12:50:15, ]
2023-09-23 00:25:43,419.v1_emitter_of_smoker_tasks copy.INFO  [x] Sent [05/22/21 12:51:10, 146.2]
2023-09-23 00:25:43,425.v1_emitter_of_smoker_tasks copy.INFO  [x] Sent [05/22/21 12:51:10, ]
2023-09-23 00:25:43,430.v1_emitter_of_smoker_tasks copy.INFO  [x] Sent [05/22/21 12:51:10, ]
2023-09-23 00:25:44,439.v1_emitter_of_smoker_tasks copy.INFO  [x] Sent [05/22/21 12:51:15, 146.2]
2023-09-23 00:25:44,444.v1_emitter_of_smoker_tasks copy.INFO  [x] Sent [05/22/21 12:51:15, ]
2023-09-23 00:25:44,453.v1_emitter_of_smoker_tasks copy.INFO  [x] Sent [05/22/21 12:51:15, ]
2023-09-23 00:25:45,471.v1_emitter_of_smoker_tasks copy.INFO  [x] Sent [05/22/21 12:52:10, 147.5]
2023-09-23 00:25:45,479.v1_emitter_of_smoker_tasks copy.INFO  [x] Sent [05/22/21 12:52:10, ]
2023-09-23 00:25:45,488.v1_emitter_of_smoker_tasks copy.INFO  [x] Sent [05/22/21 12:52:10, ]
2023-09-23 00:25:46,497.v1_emitter_of_smoker_tasks copy.INFO  [x] Sent [05/22/21 12:52:15, 147.5]
2023-09-23 00:25:46,504.v1_emitter_of_smoker_tasks copy.INFO  [x] Sent [05/22/21 12:52:15, ]
2023-09-23 00:25:46,511.v1_emitter_of_smoker_tasks copy.INFO  [x] Sent [05/22/21 12:52:15, ]
2023-09-23 00:25:47,532.v1_emitter_of_smoker_tasks copy.INFO  [x] Sent [05/22/21 12:53:10, 148.7]
2023-09-23 00:25:47,540.v1_emitter_of_smoker_tasks copy.INFO  [x] Sent [05/22/21 12:53:10, ]
2023-09-23 00:25:47,548.v1_emitter_of_smoker_tasks copy.INFO  [x] Sent [05/22/21 12:53:10, ]
