2023-09-30 15:20:10,525.FoodA_consumer.INFO ==================================================
2023-09-30 15:20:10,525.FoodA_consumer.INFO Today is 2023-09-30 at 03:20 PM
2023-09-30 15:20:10,526.FoodA_consumer.INFO Running on: nt Windows 10
2023-09-30 15:20:10,526.FoodA_consumer.INFO Python version:  3.9.12
2023-09-30 15:20:10,527.FoodA_consumer.INFO Python path: C:\Users\alhal\miniconda3
2023-09-30 15:20:10,527.FoodA_consumer.INFO Working dir: C:\Users\alhal\OneDrive\Documents\44-671\streaming-05-smart-smoker
2023-09-30 15:20:10,617.FoodA_consumer.INFO  [x] Received 05/22/21 14:06:40,50.5
2023-09-30 15:20:10,617.FoodA_consumer.INFO  [x] Done.
2023-09-30 15:20:10,618.FoodA_consumer.INFO  [x] Received 05/22/21 14:06:45,No temperature
2023-09-30 15:20:10,618.FoodA_consumer.INFO  [x] Done.
2023-09-30 15:20:10,619.FoodA_consumer.INFO  [x] Received 05/22/21 14:07:10,No temperature
2023-09-30 15:20:10,619.FoodA_consumer.INFO  [x] Done.
2023-09-30 15:20:10,621.FoodA_consumer.INFO  [x] Received 05/22/21 14:07:15,No temperature
2023-09-30 15:20:10,621.FoodA_consumer.INFO  [x] Done.
2023-09-30 15:20:10,622.FoodA_consumer.INFO  [x] Received 05/22/21 14:07:35,51.8
2023-09-30 15:20:10,622.FoodA_consumer.INFO  [x] Done.
2023-09-30 15:20:10,626.FoodA_consumer.INFO  [x] Received 05/22/21 14:07:40,51.8
2023-09-30 15:20:10,627.FoodA_consumer.INFO  [x] Done.
2023-09-30 15:20:10,628.FoodA_consumer.INFO  [x] Received 05/22/21 14:07:45,No temperature
2023-09-30 15:20:10,628.FoodA_consumer.INFO  [x] Done.
2023-09-30 15:20:10,629.FoodA_consumer.INFO  [x] Received 05/22/21 14:08:10,No temperature
2023-09-30 15:20:10,629.FoodA_consumer.INFO  [x] Done.
2023-09-30 15:20:10,630.FoodA_consumer.INFO  [x] Received 05/22/21 14:08:15,No temperature
2023-09-30 15:20:10,630.FoodA_consumer.INFO  [x] Done.
